Pos,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS
1,Liverpool,38,32,3,3,85,33,52,99,,2.61,2,39%,8%
2,Manchester City,38,26,3,9,102,35,67,81,,2.13,2.25,45%,11%
3,Manchester Utd,38,18,12,8,66,36,30,66,,1.74,2.5,34%,21%
4,Chelsea,38,20,6,12,69,54,15,66,,1.74,1.88,24%,18%
5,Leicester City,38,18,8,12,67,41,26,62,,1.63,1,34%,24%
6,Tottenham,38,16,11,11,61,47,14,59,,1.55,2.13,21%,18%
7,Wolverhampton,38,15,14,9,51,40,11,59,,1.55,1.63,34%,21%
8,Arsenal,38,14,14,10,56,48,8,56,,1.47,2,26%,18%
9,Sheffield Utd,38,14,12,12,39,39,0,54,,1.42,1.25,34%,32%
10,Burnley,38,15,9,14,43,50,-7,54,,1.42,1.88,39%,26%
11,Southampton,38,15,7,16,51,60,-9,52,,1.37,1.88,24%,16%
12,Everton,38,13,10,15,44,56,-12,49,,1.29,1.38,24%,26%
13,Newcastle Utd,38,11,11,16,38,58,-20,44,,1.16,0.75,29%,34%
14,Crystal Palace,38,11,10,17,31,50,-19,43,,1.13,0.13,26%,42%
15,Brighton,38,9,14,15,39,54,-15,41,,1.08,1.13,24%,34%
16,West Ham Utd,38,10,9,19,49,62,-13,39,,1.03,1.5,18%,32%
17,Aston Villa,38,9,8,21,41,67,-26,35,,0.92,1.13,18%,29%
18,Bournemouth,38,9,7,22,40,65,-25,34,,0.89,0.88,13%,39%
19,Watford,38,8,10,20,36,64,-28,34,,0.89,0.75,24%,42%
20,Norwich City,38,5,6,27,26,75,-49,21,,0.55,0,13%,53%
