,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS,FTS
1,Manchester City,38,27,5,6,102,37,65,86,,2.26,2.38,42%,11%,
2,Liverpool,38,26,6,6,101,50,51,84,,2.21,2.38,26%,8%,
3,Chelsea,38,25,7,6,71,27,44,82,,2.16,2,47%,21%,
4,Arsenal,38,24,7,7,68,41,27,79,,2.08,2.13,45%,16%,
5,Everton,38,21,9,8,61,39,22,72,,1.89,1.88,39%,24%,
6,Tottenham,38,21,6,11,55,51,4,69,,1.82,2,37%,29%,
7,Manchester Utd,38,19,7,12,64,43,21,64,,1.68,1.63,34%,24%,
8,Southampton,38,15,11,12,54,46,8,56,,1.47,1.38,39%,18%,
9,Stoke City,38,13,11,14,45,52,-7,50,,1.32,2,24%,37%,
10,Newcastle Utd,38,15,4,19,43,59,-16,49,,1.29,0.38,26%,42%,
11,Crystal Palace,38,13,6,19,33,48,-15,45,,1.18,2.13,32%,45%,
12,Swansea City,38,11,9,18,54,54,0,42,,1.11,1.63,21%,29%,
13,West Ham Utd,38,11,7,20,40,51,-11,40,,1.05,1.13,37%,39%,
14,Sunderland,38,10,8,20,41,60,-19,38,,1,1.63,29%,34%,
15,Aston Villa,38,10,8,20,39,61,-22,38,,1,0.5,24%,42%,
16,Hull City,38,10,7,21,38,53,-15,37,,0.97,0.5,26%,42%,
17,West Brom,38,7,15,16,43,59,-16,36,,0.95,1,18%,29%,
18,Norwich City,38,8,9,21,28,62,-34,33,,0.87,0.5,32%,45%,
19,Fulham,38,9,5,24,40,85,-45,32,,0.84,1,13%,26%,
20,Cardiff City,38,7,9,22,32,74,-42,30,,0.79,0.63,18%,50%,
